t,x,y
0.000000000E0,1.734636821E-2,1.415968748E-1
3.333333333E-2,1.818700908E-2,1.424478554E-1
6.666666667E-2,1.817609232E-2,1.424599110E-1
1.000000000E-1,1.911641084E-2,1.422993904E-1
1.333333333E-1,1.903319017E-2,1.417428622E-1
1.666666667E-1,1.981819880E-2,1.403483346E-1
2.000000000E-1,1.979736080E-2,1.370296709E-1
2.333333333E-1,1.983877402E-2,1.322905565E-1
2.666666667E-1,1.924510100E-2,1.274005991E-1
3.000000000E-1,1.950425315E-2,1.235369112E-1
3.333333333E-1,1.943357764E-2,1.200108745E-1
3.666666667E-1,1.964997730E-2,1.171784437E-1
4.000000000E-1,1.959754199E-2,1.137248795E-1
4.333333333E-1,1.971377126E-2,1.097967788E-1
4.666666667E-1,1.986143185E-2,1.054866160E-1
5.000000000E-1,1.978475132E-2,1.008800321E-1
5.333333333E-1,2.021624481E-2,9.826141352E-2
5.666666667E-1,2.033654233E-2,9.877476386E-2
6.000000000E-1,2.072785390E-2,1.025081253E-1
6.333333333E-1,2.080702141E-2,1.096261902E-1
6.666666667E-1,2.113248477E-2,1.189076679E-1
7.000000000E-1,2.134896877E-2,1.292504751E-1
7.333333333E-1,2.165662133E-2,1.388759385E-1
7.666666667E-1,2.201840227E-2,1.459902428E-1
8.000000000E-1,2.211505988E-2,1.490179514E-1
8.333333333E-1,2.310221915E-2,1.486945654E-1
8.666666667E-1,2.302144139E-2,1.483975872E-1
9.000000000E-1,2.417752900E-2,1.486214142E-1
9.333333333E-1,2.384709725E-2,1.474666052E-1
9.666666667E-1,2.412161566E-2,1.453136173E-1
1.000000000E0,2.372149336E-2,1.415243366E-1
1.033333333E0,2.313901839E-2,1.368896328E-1
1.066666667E0,2.304829503E-2,1.331943590E-1
1.100000000E0,2.314071777E-2,1.303543153E-1
1.133333333E0,2.292104950E-2,1.284101087E-1
1.166666667E0,2.288205335E-2,1.262560285E-1
1.200000000E0,2.266063399E-2,1.235063795E-1
1.233333333E0,2.278548589E-2,1.201678033E-1
1.266666667E0,2.249576186E-2,1.160599262E-1
1.300000000E0,2.249573563E-2,1.122287579E-1
1.333333333E0,2.265051665E-2,1.111141994E-1
1.366666667E0,2.270593047E-2,1.127289910E-1
1.400000000E0,2.293825120E-2,1.177041480E-1
1.433333333E0,2.315492036E-2,1.258805538E-1
1.466666667E0,2.319642810E-2,1.352420854E-1
1.500000000E0,2.326785445E-2,1.450277820E-1
1.533333333E0,2.354016150E-2,1.530865333E-1
1.566666667E0,2.369549350E-2,1.581593798E-1
1.600000000E0,2.412629816E-2,1.584218323E-1
1.633333333E0,2.429232096E-2,1.579452288E-1
1.666666667E0,2.472450760E-2,1.576235747E-1
1.700000000E0,2.502633105E-2,1.576955382E-1
1.733333333E0,2.512514248E-2,1.566138371E-1
1.766666667E0,2.469681689E-2,1.535152733E-1
1.800000000E0,2.457461299E-2,1.491411873E-1
1.833333333E0,2.398755426E-2,1.441780433E-1
1.866666667E0,2.386775349E-2,1.399861171E-1
1.900000000E0,2.387125002E-2,1.363273347E-1
1.933333333E0,2.367613594E-2,1.331447619E-1
1.966666667E0,2.359280900E-2,1.293414598E-1
2.000000000E0,2.344242471E-2,1.249514634E-1
2.033333333E0,2.322455420E-2,1.197937663E-1
2.066666667E0,2.318244830E-2,1.142312111E-1
2.100000000E0,2.305752618E-2,1.102237120E-1
2.133333333E0,2.308143464E-2,1.096918268E-1
2.166666667E0,2.314365497E-2,1.122471297E-1
2.200000000E0,2.319240842E-2,1.184036394E-1
2.233333333E0,2.318807757E-2,1.270028926E-1
2.266666667E0,2.325202675E-2,1.365226367E-1
