t,x,y
0.000000000E0,-3.227614949E-1,1.695093548E-1
3.333333333E-2,-3.241094547E-1,1.582960968E-1
6.666666667E-2,-3.237889719E-1,1.367716673E-1
1.000000000E-1,-3.192908478E-1,9.799617713E-2
1.333333333E-1,-2.958723602E-1,3.381437149E-2
1.666666667E-1,-2.737165332E-1,-1.106624070E-4
2.000000000E-1,-2.509080240E-1,-2.757385597E-2
2.333333333E-1,-2.401448124E-1,-3.703456791E-2
2.666666667E-1,-2.299244424E-1,-4.464184523E-2
3.000000000E-1,-2.141380622E-1,-5.403947553E-2
3.333333333E-1,-1.895703213E-1,-6.939718773E-2
3.666666667E-1,-1.718027429E-1,-7.972022711E-2
4.000000000E-1,-1.551424997E-1,-9.506952602E-2
4.333333333E-1,-1.610232398E-1,-8.895217225E-2
4.666666667E-1,-1.734916318E-1,-8.484446617E-2
5.000000000E-1,-1.968152311E-1,-7.535748643E-2
5.333333333E-1,-2.145852717E-1,-6.642148527E-2
5.666666667E-1,-2.335210876E-1,-5.478670410E-2
6.000000000E-1,-2.492022354E-1,-4.310956054E-2
6.333333333E-1,-2.608744788E-1,-3.134555412E-2
6.666666667E-1,-2.695184223E-1,-1.955480055E-2
7.000000000E-1,-2.770862747E-1,-3.687857822E-3
7.333333333E-1,-2.854182264E-1,1.438870716E-2
7.666666667E-1,-2.989291279E-1,4.616550482E-2
8.000000000E-1,-3.108671092E-1,8.482677407E-2
8.333333333E-1,-3.181682985E-1,1.250081534E-1
8.666666667E-1,-3.204360312E-1,1.668342678E-1
9.000000000E-1,-3.234930176E-1,1.882244111E-1
9.333333333E-1,-3.221156919E-1,1.543906381E-1
9.666666667E-1,-3.215316306E-1,1.395583893E-1
1.000000000E0,-3.184296005E-1,1.076404599E-1
1.033333333E0,-3.041517503E-1,6.095078843E-2
1.066666667E0,-2.829058637E-1,2.189756671E-2
1.100000000E0,-2.621396295E-1,-5.638786418E-3
1.133333333E0,-2.371781899E-1,-3.335714901E-2
1.166666667E0,-2.275416771E-1,-3.924080214E-2
1.200000000E0,-2.118989907E-1,-4.802716753E-2
1.233333333E0,-2.019277298E-1,-5.251288187E-2
1.266666667E0,-1.807810355E-1,-6.544376793E-2
1.300000000E0,-1.547166259E-1,-8.670172367E-2
1.333333333E0,-1.594531584E-1,-8.553456507E-2
1.366666667E0,-1.782987858E-1,-7.626055247E-2
1.400000000E0,-1.981398716E-1,-6.793379403E-2
1.433333333E0,-2.162197391E-1,-5.888134955E-2
1.466666667E0,-2.343571796E-1,-4.766372717E-2
1.500000000E0,-2.499111086E-1,-3.649156582E-2
1.533333333E0,-2.615262857E-1,-2.528735028E-2
1.566666667E0,-2.706443406E-1,-1.332383310E-2
1.600000000E0,-2.802782129E-1,3.288711793E-3
1.633333333E0,-2.977099065E-1,4.109272716E-2
1.666666667E0,-3.102147607E-1,7.524808506E-2
