t,x,y
0.000000000E0,2.461166804E-2,1.422870491E-1
3.333333333E-2,2.458860746E-2,1.449299339E-1
6.666666667E-2,2.414191682E-2,1.472569837E-1
1.000000000E-1,2.383605302E-2,1.486496973E-1
1.333333333E-1,2.350939547E-2,1.494952068E-1
1.666666667E-1,2.340952450E-2,1.505391994E-1
2.000000000E-1,2.345469880E-2,1.522016383E-1
2.333333333E-1,2.342335156E-2,1.545586494E-1
2.666666667E-1,2.339366971E-2,1.568403799E-1
3.000000000E-1,2.326822387E-2,1.590889933E-1
3.333333333E-1,2.349209871E-2,1.607889843E-1
3.666666667E-1,2.370599800E-2,1.617387708E-1
4.000000000E-1,2.369451693E-2,1.616229175E-1
4.333333333E-1,2.395573981E-2,1.604428616E-1
4.666666667E-1,2.424999225E-2,1.582490386E-1
5.000000000E-1,2.455592223E-2,1.555381626E-1
5.333333333E-1,2.487151266E-2,1.540668305E-1
5.666666667E-1,2.519847203E-2,1.534634656E-1
6.000000000E-1,2.594097491E-2,1.531208753E-1
6.333333333E-1,2.602773106E-2,1.518543598E-1
6.666666667E-1,2.560808324E-2,1.498784784E-1
7.000000000E-1,2.523095471E-2,1.484326950E-1
7.333333333E-1,2.477439179E-2,1.475103974E-1
7.666666667E-1,2.470821656E-2,1.465051313E-1
8.000000000E-1,2.487378635E-2,1.452217112E-1
8.333333333E-1,2.463762630E-2,1.436862669E-1
8.666666667E-1,2.431990745E-2,1.432399806E-1
9.000000000E-1,2.451175440E-2,1.432621899E-1
9.333333333E-1,2.450770070E-2,1.433756441E-1
9.666666667E-1,2.451915237E-2,1.435807240E-1
1.000000000E0,2.423249098E-2,1.428215122E-1
1.033333333E0,2.418652648E-2,1.419599014E-1
1.066666667E0,2.413280546E-2,1.410119546E-1
1.100000000E0,2.408095208E-2,1.402170514E-1
1.133333333E0,2.394592536E-2,1.402623482E-1
1.166666667E0,2.408865778E-2,1.406295958E-1
1.200000000E0,2.427078308E-2,1.417575436E-1
1.233333333E0,2.422157357E-2,1.431571742E-1
1.266666667E0,2.429305122E-2,1.452901479E-1
1.300000000E0,2.422407084E-2,1.470436531E-1
1.333333333E0,2.414452011E-2,1.480418053E-1
1.366666667E0,2.387793899E-2,1.483380421E-1
1.400000000E0,2.367083788E-2,1.484662558E-1
1.433333333E0,2.358829226E-2,1.487710642E-1
1.466666667E0,2.349530088E-2,1.496759152E-1
1.500000000E0,2.336277867E-2,1.512484278E-1
1.533333333E0,2.316550714E-2,1.528683376E-1
1.566666667E0,2.328595232E-2,1.542604606E-1
1.600000000E0,2.335790730E-2,1.550046443E-1
1.633333333E0,2.314845599E-2,1.547329584E-1
1.666666667E0,2.337191581E-2,1.542370402E-1
1.700000000E0,2.354483775E-2,1.527352745E-1
1.733333333E0,2.381990669E-2,1.502688891E-1
1.766666667E0,2.407885055E-2,1.481489547E-1
1.800000000E0,2.440214333E-2,1.471117553E-1
1.833333333E0,2.466820682E-2,1.465192680E-1
1.866666667E0,2.518962510E-2,1.456828902E-1
1.900000000E0,2.510756359E-2,1.440731019E-1
1.933333333E0,2.465751589E-2,1.422642385E-1
1.966666667E0,2.432458169E-2,1.411208135E-1
2.000000000E0,2.415359341E-2,1.408054340E-1
2.033333333E0,2.380197485E-2,1.400457267E-1
2.066666667E0,2.374952439E-2,1.394745070E-1
2.100000000E0,2.366278815E-2,1.394241769E-1
2.133333333E0,2.368566579E-2,1.393306439E-1
2.166666667E0,2.347415353E-2,1.392021952E-1
2.200000000E0,2.354806997E-2,1.392152349E-1
2.233333333E0,2.359451542E-2,1.391349720E-1
2.266666667E0,2.348111523E-2,1.385214338E-1
2.300000000E0,2.365050112E-2,1.377309214E-1
2.333333333E0,2.344204546E-2,1.364520862E-1
2.366666667E0,2.331091195E-2,1.360033454E-1
2.400000000E0,2.345556996E-2,1.364849465E-1
2.433333333E0,2.379472206E-2,1.373859458E-1
2.466666667E0,2.400069971E-2,1.388172213E-1
2.500000000E0,2.374615307E-2,1.409760707E-1
2.533333333E0,2.374050279E-2,1.435029758E-1
2.566666667E0,2.351504717E-2,1.456105380E-1
2.600000000E0,2.334780531E-2,1.469648009E-1
2.633333333E0,2.282266893E-2,1.476987194E-1
2.666666667E0,2.247971163E-2,1.481844148E-1
2.700000000E0,2.235275977E-2,1.493816876E-1
2.733333333E0,2.217298659E-2,1.511066723E-1
2.766666667E0,2.195844218E-2,1.534092697E-1
2.800000000E0,2.168057614E-2,1.551912883E-1
2.833333333E0,2.169540500E-2,1.568599080E-1
2.866666667E0,2.154523361E-2,1.578893288E-1
2.900000000E0,2.142406407E-2,1.580801061E-1
2.933333333E0,2.133495661E-2,1.577429593E-1
2.966666667E0,2.130672078E-2,1.560154154E-1
