t,x,y
0.000000000E0,-2.915562443E-1,2.345197241E-1
3.333333333E-2,-2.897744834E-1,2.345546739E-1
6.666666667E-2,-2.917052303E-1,2.332321769E-1
1.000000000E-1,-2.972640086E-1,2.304057783E-1
1.333333333E-1,-3.053204687E-1,2.247120219E-1
1.666666667E-1,-3.137090892E-1,2.148365543E-1
2.000000000E-1,-3.213451085E-1,1.993289309E-1
2.333333333E-1,-3.270774609E-1,1.766199058E-1
2.666666667E-1,-3.294405675E-1,1.412590736E-1
3.000000000E-1,-3.271986865E-1,1.070586906E-1
3.333333333E-1,-3.192039694E-1,6.983707215E-2
3.666666667E-1,-3.067952748E-1,3.442806042E-2
4.000000000E-1,-2.916066140E-1,1.931131794E-3
4.333333333E-1,-2.748451826E-1,-2.635334064E-2
4.666666667E-1,-2.573505872E-1,-5.048138065E-2
5.000000000E-1,-2.462494965E-1,-6.279731166E-2
5.333333333E-1,-2.341437810E-1,-7.470680215E-2
5.666666667E-1,-2.218950749E-1,-8.520473257E-2
6.000000000E-1,-2.111293983E-1,-9.376079754E-2
6.333333333E-1,-2.042174016E-1,-9.985440462E-2
6.666666667E-1,-2.050529569E-1,-1.007295266E-1
7.000000000E-1,-2.131639963E-1,-9.625119842E-2
7.333333333E-1,-2.254267007E-1,-8.800224814E-2
7.666666667E-1,-2.377715583E-1,-7.837447750E-2
8.000000000E-1,-2.495989764E-1,-6.819202683E-2
8.333333333E-1,-2.592860258E-1,-5.830277673E-2
8.666666667E-1,-2.676316593E-1,-4.742371739E-2
9.000000000E-1,-2.749625559E-1,-3.428868608E-2
9.333333333E-1,-2.832859784E-1,-1.782640592E-2
9.666666667E-1,-2.928337770E-1,3.767706214E-3
1.000000000E0,-3.065130201E-1,3.779420434E-2
1.033333333E0,-3.191787180E-1,7.877207615E-2
1.066666667E0,-3.262771372E-1,1.233018227E-1
1.100000000E0,-3.270888887E-1,1.630164599E-1
1.133333333E0,-3.221429775E-1,1.941250748E-1
1.166666667E0,-3.126732219E-1,2.211114167E-1
1.200000000E0,-3.039709466E-1,2.318703055E-1
1.233333333E0,-2.953415457E-1,2.363116508E-1
1.266666667E0,-2.900108249E-1,2.377766391E-1
1.300000000E0,-2.899075546E-1,2.375072230E-1
1.333333333E0,-2.923709977E-1,2.351492508E-1
1.366666667E0,-2.987521413E-1,2.314822272E-1
1.400000000E0,-3.068897491E-1,2.255284306E-1
1.433333333E0,-3.153094111E-1,2.155491648E-1
1.466666667E0,-3.230051868E-1,1.987019061E-1
1.500000000E0,-3.277780351E-1,1.776449945E-1
1.533333333E0,-3.302699401E-1,1.361706885E-1
1.566666667E0,-3.270319767E-1,1.002460886E-1
1.600000000E0,-3.175568572E-1,6.076069503E-2
1.633333333E0,-3.039237893E-1,2.416074577E-2
1.666666667E0,-2.881152811E-1,-7.956038606E-3
1.700000000E0,-2.709448506E-1,-3.561124990E-2
1.733333333E0,-2.545634885E-1,-5.750859345E-2
1.766666667E0,-2.452044650E-1,-6.778780950E-2
1.800000000E0,-2.332556842E-1,-7.863652423E-2
1.833333333E0,-2.210549878E-1,-8.773986784E-2
1.866666667E0,-2.099826431E-1,-9.601861609E-2
1.900000000E0,-2.044041146E-1,-1.010833030E-1
1.933333333E0,-2.068133073E-1,-1.003305486E-1
1.966666667E0,-2.165744992E-1,-9.450645226E-2
2.000000000E0,-2.298653330E-1,-8.475977007E-2
2.033333333E0,-2.423007625E-1,-7.462975681E-2
2.066666667E0,-2.533765674E-1,-6.446363584E-2
2.100000000E0,-2.625576817E-1,-5.447138681E-2
2.133333333E0,-2.704024685E-1,-4.362867081E-2
