t,x,y
0.000000000E0,3.670177536E-2,1.297185254E-1
3.333333333E-2,3.664517989E-2,1.302152854E-1
6.666666667E-2,3.652295674E-2,1.300342970E-1
1.000000000E-1,3.630451927E-2,1.298653308E-1
1.333333333E-1,3.616018580E-2,1.298012489E-1
1.666666667E-1,3.601534578E-2,1.297866570E-1
2.000000000E-1,3.576286950E-2,1.302125969E-1
2.333333333E-1,3.554539311E-2,1.309145290E-1
2.666666667E-1,3.554986850E-2,1.320829817E-1
3.000000000E-1,3.555323930E-2,1.340181114E-1
3.333333333E-1,3.553867159E-2,1.361097387E-1
3.666666667E-1,3.549470293E-2,1.377988376E-1
4.000000000E-1,3.565145529E-2,1.390977703E-1
4.333333333E-1,3.575165509E-2,1.394645266E-1
4.666666667E-1,3.584802023E-2,1.393557743E-1
5.000000000E-1,3.585369281E-2,1.382597205E-1
5.333333333E-1,3.615729094E-2,1.363546413E-1
5.666666667E-1,3.649473313E-2,1.339086864E-1
6.000000000E-1,3.659444967E-2,1.325192702E-1
6.333333333E-1,3.651541651E-2,1.317863104E-1
6.666666667E-1,3.649367318E-2,1.309170322E-1
7.000000000E-1,3.638931920E-2,1.297160566E-1
7.333333333E-1,3.623753442E-2,1.284840906E-1
7.666666667E-1,3.612820805E-2,1.280345017E-1
8.000000000E-1,3.602752486E-2,1.280064945E-1
8.333333333E-1,3.588537241E-2,1.277871807E-1
8.666666667E-1,3.588463140E-2,1.277533624E-1
9.000000000E-1,3.595827512E-2,1.272747336E-1
9.333333333E-1,3.572060061E-2,1.268977379E-1
9.666666667E-1,3.567052255E-2,1.260376960E-1
1.000000000E0,3.560812760E-2,1.252661737E-1
1.033333333E0,3.550542937E-2,1.243094816E-1
1.066666667E0,3.564286515E-2,1.242815876E-1
1.100000000E0,3.562731692E-2,1.246418772E-1
1.133333333E0,3.590964246E-2,1.254318823E-1
1.166666667E0,3.613135497E-2,1.266957706E-1
1.200000000E0,3.644775000E-2,1.282705896E-1
1.233333333E0,3.661339764E-2,1.296772681E-1
1.266666667E0,3.648222391E-2,1.302062946E-1
1.300000000E0,3.658858774E-2,1.301180990E-1
1.333333333E0,3.631854730E-2,1.299241466E-1
1.366666667E0,3.621351327E-2,1.297696651E-1
1.400000000E0,3.598987528E-2,1.296800511E-1
1.433333333E0,3.578968570E-2,1.297220592E-1
1.466666667E0,3.573501738E-2,1.297582983E-1
1.500000000E0,3.550596704E-2,1.299117142E-1
1.533333333E0,3.554962663E-2,1.308886928E-1
1.566666667E0,3.555010748E-2,1.325592375E-1
1.600000000E0,3.549236338E-2,1.341749203E-1
1.633333333E0,3.556009436E-2,1.353006920E-1
1.666666667E0,3.569291230E-2,1.362200861E-1
1.700000000E0,3.591442989E-2,1.361935215E-1
1.733333333E0,3.580630671E-2,1.357371799E-1
1.766666667E0,3.619860120E-2,1.343412344E-1
1.800000000E0,3.613670471E-2,1.321629263E-1
1.833333333E0,3.636384533E-2,1.303698892E-1
1.866666667E0,3.641268816E-2,1.303574753E-1
1.900000000E0,3.632898382E-2,1.302106683E-1
1.933333333E0,3.632641136E-2,1.297054836E-1
1.966666667E0,3.626976838E-2,1.283944086E-1
2.000000000E0,3.613912729E-2,1.277314791E-1
2.033333333E0,3.612850664E-2,1.276419957E-1
2.066666667E0,3.609313744E-2,1.276844075E-1
2.100000000E0,3.608225546E-2,1.277860534E-1
2.133333333E0,3.588379029E-2,1.276085656E-1
2.166666667E0,3.591035832E-2,1.275496338E-1
2.200000000E0,3.596094575E-2,1.269305702E-1
2.233333333E0,3.591636852E-2,1.263248260E-1
2.266666667E0,3.593403504E-2,1.254885772E-1
2.300000000E0,3.587552699E-2,1.248147755E-1
