t,x,y
0.000000000E0,4.121683782E-2,2.385775084E-1
3.333333333E-2,4.135102087E-2,2.434534936E-1
6.666666667E-2,4.093784233E-2,2.490493180E-1
1.000000000E-1,4.098567301E-2,2.549516454E-1
1.333333333E-1,4.096833398E-2,2.609140719E-1
1.666666667E-1,4.102982545E-2,2.666652759E-1
2.000000000E-1,4.121852687E-2,2.727796748E-1
2.333333333E-1,4.135245412E-2,2.780325229E-1
2.666666667E-1,4.138576487E-2,2.831678533E-1
3.000000000E-1,4.170838922E-2,2.880139097E-1
3.333333333E-1,4.180674837E-2,2.913501984E-1
3.666666667E-1,4.199580657E-2,2.940960998E-1
4.000000000E-1,4.226224463E-2,2.944172674E-1
4.333333333E-1,4.256969248E-2,2.936972222E-1
4.666666667E-1,4.276589231E-2,2.920020232E-1
5.000000000E-1,4.363701089E-2,2.912224598E-1
5.333333333E-1,4.523189679E-2,2.909740951E-1
5.666666667E-1,4.781029326E-2,2.899131587E-1
6.000000000E-1,4.890878576E-2,2.880262061E-1
6.333333333E-1,4.860789507E-2,2.863758243E-1
6.666666667E-1,4.714740774E-2,2.856335053E-1
7.000000000E-1,4.510505716E-2,2.847067605E-1
7.333333333E-1,4.423072552E-2,2.834868738E-1
7.666666667E-1,4.334853619E-2,2.819675419E-1
8.000000000E-1,4.310861764E-2,2.803532206E-1
8.333333333E-1,4.294162830E-2,2.787976681E-1
8.666666667E-1,4.286449746E-2,2.773479524E-1
9.000000000E-1,4.283141394E-2,2.762333354E-1
9.333333333E-1,4.278069553E-2,2.752162905E-1
9.666666667E-1,4.280198265E-2,2.743738930E-1
1.000000000E0,4.270295027E-2,2.733075514E-1
1.033333333E0,4.266287558E-2,2.717681136E-1
1.066666667E0,4.264955189E-2,2.697344953E-1
1.100000000E0,4.260142803E-2,2.673438761E-1
1.133333333E0,4.249679471E-2,2.652430353E-1
1.166666667E0,4.273205352E-2,2.643121983E-1
1.200000000E0,4.291595732E-2,2.647909498E-1
1.233333333E0,4.316967044E-2,2.669946308E-1
1.266666667E0,4.336924213E-2,2.705941154E-1
1.300000000E0,4.334260691E-2,2.755599921E-1
1.333333333E0,4.348004522E-2,2.811639813E-1
1.366666667E0,4.340247976E-2,2.869953822E-1
1.400000000E0,4.361078309E-2,2.930990297E-1
1.433333333E0,4.384645861E-2,2.988295985E-1
1.466666667E0,4.399523086E-2,3.044838758E-1
1.500000000E0,4.419912848E-2,3.093096565E-1
1.533333333E0,4.442075373E-2,3.143167191E-1
1.566666667E0,4.485363131E-2,3.185681949E-1
1.600000000E0,4.498626570E-2,3.219348136E-1
1.633333333E0,4.521930815E-2,3.235225194E-1
1.666666667E0,4.538409484E-2,3.234736983E-1
1.700000000E0,4.586461781E-2,3.225191619E-1
1.733333333E0,4.617332829E-2,3.212282878E-1
1.766666667E0,4.731276565E-2,3.209845785E-1
1.800000000E0,4.915307946E-2,3.203697110E-1
1.833333333E0,5.192812068E-2,3.187904658E-1
1.866666667E0,5.183635390E-2,3.171213746E-1
1.900000000E0,5.105818057E-2,3.163065723E-1
1.933333333E0,4.892917926E-2,3.159664476E-1
1.966666667E0,4.755577150E-2,3.153332734E-1
2.000000000E0,4.659887593E-2,3.140702026E-1
2.033333333E0,4.579940743E-2,3.128437373E-1
2.066666667E0,4.555848970E-2,3.119108773E-1
2.100000000E0,4.541765938E-2,3.110208728E-1
2.133333333E0,4.499089287E-2,3.098260484E-1
2.166666667E0,4.472897371E-2,3.082737481E-1
2.200000000E0,4.438953829E-2,3.070192523E-1
2.233333333E0,4.409348877E-2,3.056055299E-1
2.266666667E0,4.388520705E-2,3.038946086E-1
2.300000000E0,4.358153936E-2,3.015026774E-1
2.333333333E0,4.304753547E-2,2.987488839E-1
2.366666667E0,4.277007851E-2,2.958760248E-1
2.400000000E0,4.260082710E-2,2.933481170E-1
2.433333333E0,4.233509041E-2,2.924501458E-1
2.466666667E0,4.224021723E-2,2.933380994E-1
2.500000000E0,4.220744503E-2,2.959952389E-1
2.533333333E0,4.195340104E-2,3.000148553E-1
2.566666667E0,4.148701275E-2,3.051174022E-1
2.600000000E0,4.116263789E-2,3.107366449E-1
2.633333333E0,4.079949507E-2,3.161466370E-1
2.666666667E0,4.064459155E-2,3.219662502E-1
2.700000000E0,4.048963316E-2,3.275294671E-1
2.733333333E0,4.030027690E-2,3.331822594E-1
2.766666667E0,4.010397073E-2,3.380573187E-1
2.800000000E0,3.989147531E-2,3.425484286E-1
2.833333333E0,3.998863953E-2,3.463029102E-1
2.866666667E0,3.988172278E-2,3.488780560E-1
2.900000000E0,3.996207063E-2,3.500109807E-1
2.933333333E0,4.003820961E-2,3.490617228E-1
2.966666667E0,4.032439172E-2,3.475953584E-1
3.000000000E0,4.067795070E-2,3.463376439E-1
3.033333333E0,4.185054047E-2,3.458257066E-1
3.066666667E0,4.399661458E-2,3.453052076E-1
3.100000000E0,4.640729472E-2,3.436820749E-1
3.133333333E0,4.597811132E-2,3.422193518E-1
3.166666667E0,4.441835588E-2,3.416772614E-1
3.200000000E0,4.283003081E-2,3.416553844E-1
3.233333333E0,4.191816944E-2,3.408018092E-1
3.266666667E0,4.102166652E-2,3.395524006E-1
3.300000000E0,4.082293413E-2,3.382997794E-1
3.333333333E0,4.053789611E-2,3.366672808E-1
3.366666667E0,4.047171384E-2,3.353052446E-1
3.400000000E0,4.032833945E-2,3.334302051E-1
3.433333333E0,4.022804191E-2,3.318037787E-1
3.466666667E0,4.017499285E-2,3.303655898E-1
3.500000000E0,3.985820184E-2,3.286731068E-1
3.533333333E0,3.965228044E-2,3.264832391E-1
3.566666667E0,3.945291360E-2,3.234410032E-1
3.600000000E0,3.937810044E-2,3.201825884E-1
3.633333333E0,3.941504963E-2,3.168142525E-1
3.666666667E0,3.940944350E-2,3.146634572E-1
3.700000000E0,3.939087307E-2,3.137006580E-1
3.733333333E0,3.944551539E-2,3.148223266E-1
3.766666667E0,3.944516977E-2,3.175534094E-1
3.800000000E0,3.921986490E-2,3.215684315E-1
3.833333333E0,3.911056684E-2,3.267582078E-1
3.866666667E0,3.900388585E-2,3.319106159E-1
3.900000000E0,3.900525062E-2,3.371298354E-1
3.933333333E0,3.899173907E-2,3.427080772E-1
3.966666667E0,3.904993510E-2,3.481022180E-1
4.000000000E0,3.894120673E-2,3.530382201E-1
4.033333333E0,3.886416839E-2,3.577425670E-1
4.066666667E0,3.884908962E-2,3.621202442E-1
4.100000000E0,3.891850990E-2,3.654476474E-1
4.133333333E0,3.915649477E-2,3.673911254E-1
4.166666667E0,3.943862896E-2,3.677852453E-1
4.200000000E0,3.962833531E-2,3.663826181E-1
4.233333333E0,4.006251459E-2,3.649819064E-1
4.266666667E0,4.071371038E-2,3.641897831E-1
4.300000000E0,4.215769041E-2,3.640948877E-1
4.333333333E0,4.454820805E-2,3.628776744E-1
4.366666667E0,4.581937615E-2,3.613948642E-1
4.400000000E0,4.548527571E-2,3.604107301E-1
4.433333333E0,4.368690403E-2,3.604114322E-1
4.466666667E0,4.194319836E-2,3.605159811E-1
4.500000000E0,4.136090500E-2,3.600476933E-1
4.533333333E0,4.049152680E-2,3.592178657E-1
4.566666667E0,4.004013963E-2,3.584229273E-1
4.600000000E0,3.998576758E-2,3.577025603E-1
4.633333333E0,3.968104145E-2,3.566353047E-1
4.666666667E0,3.951289903E-2,3.553066613E-1
4.700000000E0,3.948812634E-2,3.540675169E-1
4.733333333E0,3.923833524E-2,3.527598955E-1
4.766666667E0,3.926489633E-2,3.512854956E-1
4.800000000E0,3.909757619E-2,3.493248170E-1
4.833333333E0,3.902245577E-2,3.468298895E-1
4.866666667E0,3.896172336E-2,3.439810865E-1
4.900000000E0,3.890602791E-2,3.413958925E-1
4.933333333E0,3.889525380E-2,3.396678524E-1
4.966666667E0,3.893072774E-2,3.397016280E-1
5.000000000E0,3.923315784E-2,3.413341834E-1
5.033333333E0,3.902648533E-2,3.445497709E-1
5.066666667E0,3.885515280E-2,3.489724306E-1
5.100000000E0,3.861901202E-2,3.541290514E-1
5.133333333E0,3.846783336E-2,3.589523718E-1
5.166666667E0,3.852063668E-2,3.641323613E-1
5.200000000E0,3.841148815E-2,3.690140522E-1
5.233333333E0,3.845635830E-2,3.739353587E-1
5.266666667E0,3.866904402E-2,3.784659921E-1
5.300000000E0,3.851969922E-2,3.829007032E-1
5.333333333E0,3.853321123E-2,3.866725250E-1
5.366666667E0,3.873643263E-2,3.894975870E-1
5.400000000E0,3.872456336E-2,3.908536209E-1
5.433333333E0,3.882625379E-2,3.904862896E-1
5.466666667E0,3.912189497E-2,3.893031240E-1
5.500000000E0,3.961570252E-2,3.882068844E-1
5.533333333E0,4.040746999E-2,3.878316690E-1
5.566666667E0,4.220965642E-2,3.877430999E-1
5.600000000E0,4.505610196E-2,3.865187279E-1
5.633333333E0,4.550898077E-2,3.850309442E-1
5.666666667E0,4.499551002E-2,3.844483836E-1
5.700000000E0,4.298610685E-2,3.843131451E-1
5.733333333E0,4.118602795E-2,3.836983021E-1
5.766666667E0,4.023507111E-2,3.833227575E-1
5.800000000E0,3.992560281E-2,3.825104735E-1
5.833333333E0,3.947449235E-2,3.814252376E-1
5.866666667E0,3.933705364E-2,3.805323685E-1
5.900000000E0,3.911517487E-2,3.794605041E-1
5.933333333E0,3.928446196E-2,3.786979445E-1
5.966666667E0,3.909206999E-2,3.784156628E-1
6.000000000E0,3.893108688E-2,3.781170276E-1
6.033333333E0,3.887019884E-2,3.777002572E-1
6.066666667E0,3.891076343E-2,3.763949897E-1
6.100000000E0,3.877109987E-2,3.747236278E-1
6.133333333E0,3.865108717E-2,3.730145252E-1
6.166666667E0,3.882515963E-2,3.721420555E-1
6.200000000E0,3.875702165E-2,3.722340759E-1
6.233333333E0,3.900247624E-2,3.734687965E-1
6.266666667E0,3.906882007E-2,3.760972713E-1
6.300000000E0,3.897691892E-2,3.805234154E-1
6.333333333E0,3.884471788E-2,3.857398899E-1
6.366666667E0,3.877178192E-2,3.910041530E-1
6.400000000E0,3.870996821E-2,3.968527476E-1
6.433333333E0,3.864417839E-2,4.024032471E-1
6.466666667E0,3.876610471E-2,4.079930192E-1
6.500000000E0,3.864325530E-2,4.131462640E-1
6.533333333E0,3.854779572E-2,4.176623268E-1
6.566666667E0,3.859537740E-2,4.195256702E-1
6.600000000E0,3.862398156E-2,4.184843292E-1
6.633333333E0,3.866808962E-2,4.182027132E-1
6.666666667E0,3.875652876E-2,4.179595361E-1
6.700000000E0,3.884424652E-2,4.165672512E-1
6.733333333E0,3.893441759E-2,4.141836805E-1
6.766666667E0,3.955559611E-2,4.118015058E-1
6.800000000E0,4.078308952E-2,4.104570619E-1
6.833333333E0,4.251740050E-2,4.095248768E-1
6.866666667E0,4.520822783E-2,4.081777133E-1
6.900000000E0,4.503499480E-2,4.070577329E-1
6.933333333E0,4.382762990E-2,4.063287402E-1
6.966666667E0,4.175530717E-2,4.063762161E-1
7.000000000E0,4.030797412E-2,4.058594115E-1
7.033333333E0,3.963756218E-2,4.051294565E-1
7.066666667E0,3.894173619E-2,4.038777744E-1
7.100000000E0,3.855950217E-2,4.032779074E-1
7.133333333E0,3.842836151E-2,4.024411484E-1
7.166666667E0,3.821753116E-2,4.013100924E-1
7.200000000E0,3.800861689E-2,3.999265202E-1
7.233333333E0,3.787212152E-2,3.988340261E-1
7.266666667E0,3.778652944E-2,3.974314608E-1
7.300000000E0,3.756012276E-2,3.955154700E-1
7.333333333E0,3.746444360E-2,3.933614799E-1
7.366666667E0,3.745271248E-2,3.908009199E-1
7.400000000E0,3.736611572E-2,3.881159488E-1
7.433333333E0,3.746077138E-2,3.863897353E-1
7.466666667E0,3.751099481E-2,3.861311829E-1
7.500000000E0,3.741504255E-2,3.875234514E-1
7.533333333E0,3.770859948E-2,3.903130231E-1
7.566666667E0,3.743405617E-2,3.944095632E-1
7.600000000E0,3.712091740E-2,3.993827059E-1
7.633333333E0,3.706309334E-2,4.049745808E-1
7.666666667E0,3.703549733E-2,4.104624688E-1
7.700000000E0,3.711327870E-2,4.162101962E-1
7.733333333E0,3.703018782E-2,4.210412728E-1
7.766666667E0,3.690617666E-2,4.212453002E-1
7.800000000E0,3.705514839E-2,4.208885557E-1
7.833333333E0,3.700925077E-2,4.212493028E-1
7.866666667E0,3.716583752E-2,4.213390497E-1
7.900000000E0,3.733861917E-2,4.211311126E-1
7.933333333E0,3.735851297E-2,4.202416910E-1
7.966666667E0,3.739000226E-2,4.177164858E-1
8.000000000E0,3.769799274E-2,4.150053167E-1
8.033333333E0,3.848288990E-2,4.131981081E-1
8.066666667E0,3.986651911E-2,4.123050876E-1
8.100000000E0,4.234627440E-2,4.113748536E-1
8.133333333E0,4.388086750E-2,4.098669010E-1
8.166666667E0,4.353013154E-2,4.090456762E-1
8.200000000E0,4.206660474E-2,4.089991421E-1
