t,x,y
0.000000000E0,-1.485995635E-1,9.212711314E-3
3.333333333E-2,-1.567579623E-1,1.191481218E-2
6.666666667E-2,-1.741363956E-1,2.001323680E-2
1.000000000E-1,-1.923764852E-1,2.918013390E-2
1.333333333E-1,-2.132613009E-1,4.172168494E-2
1.666666667E-1,-2.294747470E-1,5.302778824E-2
2.000000000E-1,-2.415188105E-1,6.357505841E-2
2.333333333E-1,-2.494626057E-1,7.388061544E-2
2.666666667E-1,-2.574818966E-1,8.740119817E-2
3.000000000E-1,-2.679112341E-1,1.051784458E-1
3.333333333E-1,-2.832246862E-1,1.355618473E-1
3.666666667E-1,-2.985567908E-1,1.752342467E-1
4.000000000E-1,-3.069357199E-1,2.169733903E-1
4.333333333E-1,-3.087826171E-1,2.541438280E-1
4.666666667E-1,-3.098264715E-1,2.848045259E-1
5.000000000E-1,-3.109107608E-1,2.884509200E-1
5.333333333E-1,-3.132414181E-1,2.723099707E-1
5.666666667E-1,-3.120671491E-1,2.217116349E-1
6.000000000E-1,-3.017891545E-1,1.781485519E-1
6.333333333E-1,-2.821987609E-1,1.360781981E-1
6.666666667E-1,-2.587129535E-1,1.014969047E-1
7.000000000E-1,-2.372275837E-1,7.648712136E-2
7.333333333E-1,-2.269578267E-1,6.680580866E-2
7.666666667E-1,-2.190265177E-1,6.130325911E-2
8.000000000E-1,-2.030013216E-1,5.091842318E-2
8.333333333E-1,-1.799307288E-1,3.540170340E-2
8.666666667E-1,-1.592283408E-1,2.187740328E-2
9.000000000E-1,-1.512071166E-1,1.543310801E-2
9.333333333E-1,-1.575608066E-1,1.642910504E-2
9.666666667E-1,-1.774783863E-1,2.509857235E-2
1.000000000E0,-1.952607512E-1,3.303648176E-2
1.033333333E0,-2.196798836E-1,4.750840010E-2
1.066666667E0,-2.367000354E-1,5.890456619E-2
1.100000000E0,-2.483887701E-1,6.875596890E-2
1.133333333E0,-2.556183622E-1,7.880276757E-2
1.166666667E0,-2.644188023E-1,9.294693965E-2
1.200000000E0,-2.768781688E-1,1.136196648E-1
1.233333333E0,-2.939636341E-1,1.458973095E-1
1.266666667E0,-3.101605102E-1,1.866269472E-1
1.300000000E0,-3.192261201E-1,2.298385354E-1
1.333333333E0,-3.223580609E-1,2.641819148E-1
1.366666667E0,-3.229732938E-1,2.935475676E-1
1.400000000E0,-3.230830956E-1,2.970347042E-1
1.433333333E0,-3.248004255E-1,2.791956862E-1
1.466666667E0,-3.211023180E-1,2.279618900E-1
1.500000000E0,-3.084125161E-1,1.857616281E-1
1.533333333E0,-2.855525814E-1,1.413086300E-1
1.566666667E0,-2.613654106E-1,1.091015679E-1
1.600000000E0,-2.383544430E-1,8.480671532E-2
1.633333333E0,-2.286846160E-1,7.644879585E-2
1.666666667E0,-2.204835838E-1,7.171115439E-2
1.700000000E0,-2.030983236E-1,6.096864125E-2
1.733333333E0,-1.795665091E-1,4.623045939E-2
1.766666667E0,-1.576914576E-1,3.221561768E-2
1.800000000E0,-1.499449277E-1,2.647884827E-2
1.833333333E0,-1.601739032E-1,2.954275626E-2
1.866666667E0,-1.801272258E-1,3.829032719E-2
1.900000000E0,-1.968873174E-1,4.531977603E-2
1.933333333E0,-2.221178237E-1,6.002871779E-2
1.966666667E0,-2.386860038E-1,7.142415820E-2
2.000000000E0,-2.504926512E-1,8.154944161E-2
2.033333333E0,-2.571447103E-1,9.106573832E-2
2.066666667E0,-2.652941586E-1,1.047492515E-1
2.100000000E0,-2.781851513E-1,1.256628010E-1
2.133333333E0,-2.955825372E-1,1.577863596E-1
2.166666667E0,-3.117694874E-1,1.992615400E-1
2.200000000E0,-3.207941958E-1,2.427006594E-1
2.233333333E0,-3.234766770E-1,2.761776849E-1
2.266666667E0,-3.241697276E-1,3.038444656E-1
2.300000000E0,-3.246941328E-1,3.021954684E-1
2.333333333E0,-3.263737170E-1,2.872563613E-1
2.366666667E0,-3.213223772E-1,2.344593238E-1
2.400000000E0,-3.082681334E-1,1.909897332E-1
2.433333333E0,-2.870385604E-1,1.493136493E-1
2.466666667E0,-2.615088323E-1,1.147564045E-1
2.500000000E0,-2.379354915E-1,8.991300867E-2
2.533333333E0,-2.287098605E-1,8.215316335E-2
2.566666667E0,-2.206422091E-1,7.739373821E-2
