t,x,y
0.000000000E0,-3.214436409E-1,3.076078361E-1
3.333333333E-2,-3.225867428E-1,3.007961049E-1
6.666666667E-2,-3.242646015E-1,2.881467039E-1
1.000000000E-1,-3.261261327E-1,2.718828713E-1
1.333333333E-1,-3.270562298E-1,2.539613709E-1
1.666666667E-1,-3.256424034E-1,2.332669193E-1
2.000000000E-1,-3.208303673E-1,2.083974599E-1
2.333333333E-1,-3.097111628E-1,1.768275960E-1
2.666666667E-1,-2.970475398E-1,1.494147078E-1
3.000000000E-1,-2.800715488E-1,1.225238713E-1
3.333333333E-1,-2.604635162E-1,9.718817923E-2
3.666666667E-1,-2.405469336E-1,7.693103378E-2
4.000000000E-1,-2.248712484E-1,6.393878787E-2
4.333333333E-1,-2.049547770E-1,4.976140545E-2
4.666666667E-1,-1.853671505E-1,3.785542546E-2
5.000000000E-1,-1.627069357E-1,2.523266592E-2
5.333333333E-1,-1.396788199E-1,1.319526785E-2
5.666666667E-1,-1.381873022E-1,1.447499431E-2
6.000000000E-1,-1.399006276E-1,1.468495203E-2
6.333333333E-1,-1.403266068E-1,1.422377338E-2
6.666666667E-1,-1.423687108E-1,1.332665982E-2
7.000000000E-1,-1.496234141E-1,1.544694584E-2
7.333333333E-1,-1.654782132E-1,2.094020481E-2
7.666666667E-1,-1.849088781E-1,2.981705878E-2
8.000000000E-1,-2.042656290E-1,3.995747329E-2
8.333333333E-1,-2.232302857E-1,5.085779071E-2
8.666666667E-1,-2.409256888E-1,6.401845892E-2
9.000000000E-1,-2.562950384E-1,7.771421188E-2
9.333333333E-1,-2.672887863E-1,9.097335644E-2
9.666666667E-1,-2.755515578E-1,1.050654926E-1
1.000000000E0,-2.844143612E-1,1.243674997E-1
1.033333333E0,-2.924275677E-1,1.413187388E-1
1.066666667E0,-3.061630818E-1,1.752571533E-1
1.100000000E0,-3.195154671E-1,2.165453743E-1
1.133333333E0,-3.268188712E-1,2.601003415E-1
1.166666667E0,-3.276742626E-1,2.972272024E-1
1.200000000E0,-3.241528647E-1,3.323878011E-1
1.233333333E0,-3.219824324E-1,3.469622950E-1
1.266666667E0,-3.218267492E-1,3.470359253E-1
1.300000000E0,-3.232856899E-1,3.377324892E-1
1.333333333E0,-3.256592648E-1,3.238271507E-1
1.366666667E0,-3.276168294E-1,3.078303459E-1
1.400000000E0,-3.283365999E-1,2.897152508E-1
1.433333333E0,-3.271165783E-1,2.685741104E-1
1.466666667E0,-3.222384719E-1,2.429039779E-1
1.500000000E0,-3.130268196E-1,2.154572510E-1
1.533333333E0,-2.977241418E-1,1.815290813E-1
1.566666667E0,-2.806976413E-1,1.535482874E-1
1.600000000E0,-2.612220361E-1,1.284460670E-1
1.633333333E0,-2.442182851E-1,1.112668811E-1
1.666666667E0,-2.272780381E-1,9.655823722E-2
1.700000000E0,-2.073489922E-1,8.220163321E-2
1.733333333E0,-1.828758134E-1,6.674250195E-2
1.766666667E0,-1.595875550E-1,5.343351723E-2
1.800000000E0,-1.419882452E-1,4.526430510E-2
1.833333333E0,-1.361833111E-1,4.374796411E-2
1.866666667E0,-1.387629244E-1,4.388156891E-2
1.900000000E0,-1.411363076E-1,4.396246523E-2
1.933333333E0,-1.451039229E-1,4.424219435E-2
1.966666667E0,-1.557075184E-1,4.795190289E-2
2.000000000E0,-1.712875072E-1,5.491052072E-2
2.033333333E0,-1.905150031E-1,6.449023761E-2
2.066666667E0,-2.101759845E-1,7.569237712E-2
2.100000000E0,-2.283009703E-1,8.772159281E-2
2.133333333E0,-2.456826999E-1,1.008158271E-1
2.166666667E0,-2.595437620E-1,1.138913646E-1
2.200000000E0,-2.702094119E-1,1.265151229E-1
2.233333333E0,-2.784144120E-1,1.410375232E-1
2.266666667E0,-2.883534927E-1,1.624646138E-1
2.300000000E0,-2.993528116E-1,1.798676084E-1
2.333333333E0,-3.135269623E-1,2.167451663E-1
2.366666667E0,-3.245725928E-1,2.592394749E-1
2.400000000E0,-3.294740161E-1,3.005728000E-1
2.433333333E0,-3.289457450E-1,3.395897594E-1
2.466666667E0,-3.266027453E-1,3.615718864E-1
2.500000000E0,-3.230238943E-1,3.748110909E-1
2.533333333E0,-3.247369121E-1,3.711140095E-1
2.566666667E0,-3.273699088E-1,3.600471637E-1
2.600000000E0,-3.304291048E-1,3.444539619E-1
2.633333333E0,-3.324136485E-1,3.265112645E-1
2.666666667E0,-3.327218211E-1,3.059473186E-1
2.700000000E0,-3.303647029E-1,2.822540110E-1
2.733333333E0,-3.238234189E-1,2.510170409E-1
2.766666667E0,-3.126238791E-1,2.209168817E-1
2.800000000E0,-2.968648455E-1,1.908781805E-1
2.833333333E0,-2.788206960E-1,1.633643206E-1
2.866666667E0,-2.618082304E-1,1.438837738E-1
2.900000000E0,-2.435846231E-1,1.267950750E-1
2.933333333E0,-2.255620333E-1,1.111980588E-1
2.966666667E0,-2.051245355E-1,9.755635371E-2
3.000000000E0,-1.789886433E-1,8.031609824E-2
3.033333333E0,-1.551253784E-1,6.693816756E-2
3.066666667E0,-1.417667108E-1,6.311979502E-2
3.100000000E0,-1.400243059E-1,6.352670447E-2
3.133333333E0,-1.419812283E-1,6.398016412E-2
3.166666667E0,-1.445230376E-1,6.379817639E-2
3.200000000E0,-1.502350391E-1,6.503766259E-2
3.233333333E0,-1.628081047E-1,6.952009071E-2
3.266666667E0,-1.804907125E-1,7.756084116E-2
3.300000000E0,-1.994783457E-1,8.704938714E-2
3.333333333E0,-2.196081541E-1,9.842519295E-2
3.366666667E0,-2.379334242E-1,1.105859246E-1
3.400000000E0,-2.547148385E-1,1.235003907E-1
3.433333333E0,-2.679801853E-1,1.363133932E-1
3.466666667E0,-2.776660378E-1,1.488603795E-1
3.500000000E0,-2.862163947E-1,1.652546062E-1
