t,y,x
1.400000000E0,3.241939865E-1,3.312363161E-1
1.433333333E0,2.950969065E-1,3.342885844E-1
1.466666667E0,2.606425302E-1,3.341650934E-1
1.500000000E0,2.246979584E-1,3.273430335E-1
1.533333333E0,1.873956620E-1,3.142304675E-1
1.566666667E0,1.535340980E-1,2.970149328E-1
1.600000000E0,1.239276683E-1,2.766762861E-1
1.633333333E0,1.002034308E-1,2.569960757E-1
1.666666667E0,8.911483713E-2,2.463695206E-1
1.700000000E0,7.911931619E-2,2.338538068E-1
1.733333333E0,6.700809501E-2,2.179153757E-1
1.766666667E0,5.831043029E-2,2.057101235E-1
1.800000000E0,5.398737231E-2,2.017653002E-1
1.833333333E0,5.618409637E-2,2.096750488E-1
1.866666667E0,6.359347821E-2,2.254734319E-1
1.900000000E0,7.712747080E-2,2.457914943E-1
1.933333333E0,8.910396314E-2,2.604069957E-1
1.966666667E0,9.773191036E-2,2.683652367E-1
2.000000000E0,1.063919277E-1,2.731097772E-1
2.033333333E0,1.260785435E-1,2.878058350E-1
2.066666667E0,1.756568359E-1,3.082834391E-1
2.100000000E0,1.886610640E-1,3.137043977E-1
2.133333333E0,2.090275288E-1,3.264412045E-1
2.166666667E0,2.657776993E-1,3.296672332E-1
2.200000000E0,2.971879097E-1,3.283985198E-1
2.233333333E0,3.288942678E-1,3.231963116E-1
2.266666667E0,3.402293331E-1,3.222770901E-1
2.300000000E0,3.314366605E-1,3.256706392E-1
2.333333333E0,3.107561322E-1,3.303533751E-1
2.366666667E0,2.685353849E-1,3.315568089E-1
2.400000000E0,2.251962444E-1,3.275036776E-1
2.433333333E0,1.915864452E-1,3.124120962E-1
2.466666667E0,1.601926759E-1,2.965313400E-1
2.500000000E0,1.292166494E-1,2.765174046E-1
2.533333333E0,1.059766584E-1,2.573549550E-1
2.566666667E0,9.408703967E-2,2.464740656E-1
2.600000000E0,8.364880878E-2,2.345933975E-1
2.633333333E0,7.172373215E-2,2.180246497E-1
2.666666667E0,6.283458362E-2,2.053414874E-1
2.700000000E0,5.790316318E-2,2.010917965E-1
2.733333333E0,6.071919656E-2,2.094680484E-1
2.766666667E0,6.867236289E-2,2.251083614E-1
2.800000000E0,8.248549660E-2,2.454383177E-1
2.833333333E0,9.464595705E-2,2.596574193E-1
2.866666667E0,1.037433292E-1,2.676057619E-1
2.900000000E0,1.135277544E-1,2.729435522E-1
2.933333333E0,1.244580281E-1,2.792697618E-1
2.966666667E0,1.545256642E-1,2.962635863E-1
3.000000000E0,1.886317815E-1,3.111655308E-1
3.033333333E0,2.326996414E-1,3.246961163E-1
3.066666667E0,2.739484782E-1,3.290815293E-1
3.100000000E0,3.074115247E-1,3.262244348E-1
3.133333333E0,3.287375073E-1,3.229795440E-1
3.166666667E0,3.355341616E-1,3.250199265E-1
3.200000000E0,3.270402520E-1,3.276329354E-1
3.233333333E0,3.119586437E-1,3.295779708E-1
3.266666667E0,2.840436128E-1,3.310141493E-1
3.300000000E0,2.478276176E-1,3.272964326E-1
3.333333333E0,1.949228958E-1,3.113438119E-1
3.366666667E0,1.605180048E-1,2.923954996E-1
3.400000000E0,1.318948862E-1,2.728273296E-1
3.433333333E0,1.079299778E-1,2.534514647E-1
3.466666667E0,9.739089119E-2,2.434011426E-1
3.500000000E0,8.666479963E-2,2.308517856E-1
3.533333333E0,7.423857211E-2,2.136215339E-1
3.566666667E0,6.677345834E-2,2.023354548E-1
3.600000000E0,6.190833283E-2,1.996922398E-1
3.633333333E0,6.570365447E-2,2.084678806E-1
3.666666667E0,7.031733692E-2,2.199106371E-1
3.700000000E0,8.971454458E-2,2.463772103E-1
3.733333333E0,1.016130929E-1,2.595389957E-1
3.766666667E0,1.116770947E-1,2.673583275E-1
3.800000000E0,1.223677635E-1,2.711899566E-1
3.833333333E0,1.365740290E-1,2.776121593E-1
3.866666667E0,1.661770248E-1,2.935291706E-1
3.900000000E0,2.079947108E-1,3.118200867E-1
3.933333333E0,2.550331597E-1,3.241660536E-1
3.966666667E0,2.967794585E-1,3.274303180E-1
4.000000000E0,3.286794446E-1,3.246936458E-1
4.033333333E0,3.592299811E-1,3.203459606E-1
4.066666667E0,3.693511592E-1,3.103869344E-1
4.100000000E0,3.584610334E-1,3.195238214E-1
4.133333333E0,3.366785441E-1,3.281272428E-1
4.166666667E0,2.927127832E-1,3.281806392E-1
4.200000000E0,2.470137142E-1,3.232899262E-1
4.233333333E0,2.169052031E-1,3.091807538E-1
4.266666667E0,1.829639761E-1,2.913414560E-1
4.300000000E0,1.543232050E-1,2.722743043E-1
4.333333333E0,1.314644483E-1,2.534400685E-1
4.366666667E0,1.213344244E-1,2.438274670E-1
4.400000000E0,1.101397353E-1,2.300620748E-1
4.433333333E0,9.854837984E-2,2.134665323E-1
4.466666667E0,8.946257384E-2,2.013813396E-1
4.500000000E0,8.625888580E-2,2.001546047E-1
4.533333333E0,9.013235809E-2,2.103799152E-1
4.566666667E0,1.001828962E-1,2.286588568E-1
4.600000000E0,1.144939190E-1,2.490360190E-1
4.633333333E0,1.254037208E-1,2.611117921E-1
4.666666667E0,1.340407910E-1,2.684476779E-1
4.700000000E0,1.437599169E-1,2.728926095E-1
4.733333333E0,1.573956583E-1,2.803531670E-1
4.766666667E0,1.875846460E-1,2.970204868E-1
4.800000000E0,2.277973679E-1,3.145475648E-1
4.833333333E0,2.738916871E-1,3.258389981E-1
4.866666667E0,3.149349032E-1,3.278491813E-1
4.900000000E0,3.515097387E-1,3.236444139E-1
4.933333333E0,3.692386329E-1,3.214530670E-1
4.966666667E0,3.736277195E-1,3.224170524E-1
5.000000000E0,3.626304937E-1,3.257936232E-1
5.033333333E0,3.274395742E-1,3.310505652E-1
5.066666667E0,2.883553462E-1,3.307791731E-1
5.100000000E0,2.577803588E-1,3.225424903E-1
5.133333333E0,2.212537467E-1,3.091680113E-1
5.166666667E0,1.874690693E-1,2.912719703E-1
5.200000000E0,1.580271385E-1,2.713596316E-1
5.233333333E0,1.376485411E-1,2.545049906E-1
5.266666667E0,1.250367017E-1,2.419469519E-1
5.300000000E0,1.142834875E-1,2.290033915E-1
5.333333333E0,1.030508195E-1,2.128301525E-1
5.366666667E0,9.413148471E-2,2.009625470E-1
5.400000000E0,9.028898980E-2,2.001548677E-1
5.433333333E0,9.451029737E-2,2.094608049E-1
5.466666667E0,1.037798477E-1,2.272316306E-1
5.500000000E0,1.185993426E-1,2.473637674E-1
5.533333333E0,1.297147481E-1,2.592493323E-1
5.566666667E0,1.384983139E-1,2.663364983E-1
5.600000000E0,1.497778161E-1,2.715861162E-1
5.633333333E0,1.634908571E-1,2.798663058E-1
5.666666667E0,1.944961895E-1,2.973337443E-1
5.700000000E0,2.341734565E-1,3.139048310E-1
5.733333333E0,2.787467242E-1,3.254616286E-1
5.766666667E0,3.199215728E-1,3.275956453E-1
5.800000000E0,3.575461970E-1,3.235965019E-1
5.833333333E0,3.732048893E-1,3.232880803E-1
5.866666667E0,3.762992356E-1,3.253749404E-1
5.900000000E0,3.654385641E-1,3.271057003E-1
5.933333333E0,3.325169063E-1,3.313911127E-1
5.966666667E0,2.979722582E-1,3.298573702E-1
6.000000000E0,2.617932699E-1,3.220834159E-1
6.033333333E0,2.250155998E-1,3.081586190E-1
6.066666667E0,1.929422849E-1,2.897689592E-1
6.100000000E0,1.645606443E-1,2.698837633E-1
6.133333333E0,1.490014004E-1,2.550892954E-1
6.166666667E0,1.350677298E-1,2.418823785E-1
6.200000000E0,1.250243979E-1,2.287162806E-1
6.233333333E0,1.136788923E-1,2.125423609E-1
6.266666667E0,1.045323880E-1,2.018143954E-1
6.300000000E0,1.021690498E-1,2.014021127E-1
6.333333333E0,1.067696693E-1,2.124452020E-1
6.366666667E0,1.158511250E-1,2.297569737E-1
6.400000000E0,1.303903143E-1,2.502760732E-1
6.433333333E0,1.402651717E-1,2.618517200E-1
6.466666667E0,1.495052933E-1,2.681313352E-1
6.500000000E0,1.600148729E-1,2.734179136E-1
6.533333333E0,1.738054414E-1,2.815041911E-1
6.566666667E0,2.061658738E-1,3.001552268E-1
6.600000000E0,2.489765653E-1,3.176899225E-1
6.633333333E0,2.943657327E-1,3.287344019E-1
6.666666667E0,3.377335820E-1,3.301871777E-1
6.700000000E0,3.603839527E-1,3.285269311E-1
6.733333333E0,3.843282896E-1,3.260097944E-1
6.766666667E0,3.875193290E-1,3.275485495E-1
6.800000000E0,3.879795019E-1,3.253399183E-1
6.833333333E0,3.675560684E-1,3.287743994E-1
6.866666667E0,3.093622652E-1,3.303099318E-1
6.900000000E0,2.683647049E-1,3.193798279E-1
6.933333333E0,2.314547983E-1,3.046893098E-1
6.966666667E0,1.986403264E-1,2.857437780E-1
7.000000000E0,1.704749220E-1,2.649854652E-1
7.033333333E0,1.495916903E-1,2.467415647E-1
7.066666667E0,1.423453189E-1,2.384040410E-1
7.100000000E0,1.305711291E-1,2.233188838E-1
7.133333333E0,1.205732583E-1,2.087493489E-1
7.166666667E0,1.129234641E-1,1.979248494E-1
7.200000000E0,1.102160080E-1,1.986765939E-1
7.233333333E0,1.151112075E-1,2.090328536E-1
7.266666667E0,1.251628250E-1,2.268945772E-1
7.300000000E0,1.386020572E-1,2.457044794E-1
7.333333333E0,1.497903657E-1,2.577172079E-1
7.366666667E0,1.583804494E-1,2.645327784E-1
7.400000000E0,1.693777441E-1,2.700841178E-1
7.433333333E0,1.848241867E-1,2.789847895E-1
7.466666667E0,2.158046789E-1,2.964481648E-1
7.500000000E0,2.571043719E-1,3.136348238E-1
7.533333333E0,2.983964956E-1,3.233653540E-1
7.566666667E0,3.401801192E-1,3.270112724E-1
7.600000000E0,3.747993385E-1,3.210543139E-1
7.633333333E0,3.916753160E-1,3.197155979E-1
7.666666667E0,3.923488457E-1,3.213479357E-1
7.700000000E0,3.770829328E-1,3.240876744E-1
7.733333333E0,3.400902073E-1,3.280882325E-1
7.766666667E0,3.016298924E-1,3.258055280E-1
7.800000000E0,2.710287245E-1,3.172132213E-1
7.833333333E0,2.342342999E-1,3.026815557E-1
7.866666667E0,2.011964080E-1,2.846345683E-1
7.900000000E0,1.733960148E-1,2.643121401E-1
7.933333333E0,1.531483890E-1,2.469295294E-1
7.966666667E0,1.441571808E-1,2.373126286E-1
8.000000000E0,1.329249145E-1,2.232555565E-1
8.033333333E0,1.226769007E-1,2.082099568E-1
8.066666667E0,1.147506109E-1,1.983580375E-1
8.100000000E0,1.127586969E-1,1.993729992E-1
8.133333333E0,1.174493996E-1,2.104357272E-1
8.166666667E0,1.282553784E-1,2.287718216E-1
8.200000000E0,1.416150928E-1,2.474004457E-1
8.233333333E0,1.524885803E-1,2.585746250E-1
8.266666667E0,1.616996279E-1,2.645220037E-1
8.300000000E0,1.733244459E-1,2.701572639E-1
8.333333333E0,1.894670470E-1,2.801559226E-1
8.366666667E0,2.229552733E-1,2.980243612E-1
8.400000000E0,2.632814076E-1,3.145706991E-1
8.433333333E0,3.082103135E-1,3.250623742E-1
8.466666667E0,3.484753606E-1,3.266307679E-1
8.500000000E0,3.856211410E-1,3.232893066E-1
8.533333333E0,4.026636001E-1,3.227979954E-1
8.566666667E0,4.055289198E-1,3.240723321E-1
8.600000000E0,3.903503403E-1,3.272179261E-1
8.633333333E0,3.544333225E-1,3.306942425E-1
8.666666667E0,3.179670982E-1,3.280366159E-1
8.700000000E0,2.842522548E-1,3.184743306E-1
8.733333333E0,2.490236100E-1,3.035477673E-1
8.766666667E0,2.163045910E-1,2.841102306E-1
8.800000000E0,1.902800898E-1,2.638460784E-1
8.833333333E0,1.747748953E-1,2.498522176E-1
8.866666667E0,1.639696733E-1,2.382565649E-1
8.900000000E0,1.536257159E-1,2.237602849E-1
8.933333333E0,1.432027975E-1,2.079271794E-1
8.966666667E0,-1.974458279E-1,1.342931168E-1
