t,x,y
0.000000000E0,3.995576853E-2,1.068163542E-1
3.333333333E-2,3.994507052E-2,1.120206002E-1
6.666666667E-2,3.991884601E-2,1.191039781E-1
1.000000000E-1,3.974893818E-2,1.274927126E-1
1.333333333E-1,3.970843071E-2,1.358235674E-1
1.666666667E-1,3.978658787E-2,1.431408528E-1
2.000000000E-1,3.986223294E-2,1.488982937E-1
2.333333333E-1,3.968917395E-2,1.519384604E-1
2.666666667E-1,4.000982538E-2,1.519789198E-1
3.000000000E-1,4.010119194E-2,1.516343960E-1
3.333333333E-1,4.059951034E-2,1.513114462E-1
3.666666667E-1,4.070528574E-2,1.509578158E-1
4.000000000E-1,4.150641777E-2,1.506426581E-1
4.333333333E-1,4.146063303E-2,1.483611303E-1
4.666666667E-1,4.120349263E-2,1.451014025E-1
5.000000000E-1,4.024431081E-2,1.419960682E-1
5.333333333E-1,3.997236766E-2,1.385934818E-1
5.666666667E-1,3.995008101E-2,1.348747306E-1
6.000000000E-1,3.994295271E-2,1.309573665E-1
6.333333333E-1,3.988417847E-2,1.275860656E-1
6.666666667E-1,3.973903545E-2,1.245397225E-1
7.000000000E-1,3.968333096E-2,1.212655265E-1
7.333333333E-1,3.958140837E-2,1.178538242E-1
7.666666667E-1,3.956464158E-2,1.140024231E-1
8.000000000E-1,3.941363935E-2,1.100009565E-1
8.333333333E-1,3.950558444E-2,1.069882486E-1
8.666666667E-1,3.974706091E-2,1.064386426E-1
9.000000000E-1,3.977947597E-2,1.084497251E-1
9.333333333E-1,3.968058396E-2,1.132172007E-1
9.666666667E-1,3.998135587E-2,1.206924276E-1
1.000000000E0,4.010081422E-2,1.297977377E-1
1.033333333E0,4.039915877E-2,1.384307613E-1
1.066666667E0,4.061086321E-2,1.464628230E-1
1.100000000E0,4.082598731E-2,1.529788499E-1
1.133333333E0,4.094889861E-2,1.569093214E-1
1.166666667E0,4.144336404E-2,1.574353731E-1
1.200000000E0,4.173052344E-2,1.573861176E-1
1.233333333E0,4.224573644E-2,1.574547257E-1
1.266666667E0,4.242251786E-2,1.570885930E-1
1.300000000E0,4.331176083E-2,1.567424053E-1
1.333333333E0,4.321313542E-2,1.545389859E-1
1.366666667E0,4.278249426E-2,1.512626972E-1
1.400000000E0,4.139980164E-2,1.482635604E-1
1.433333333E0,4.077880921E-2,1.450417709E-1
1.466666667E0,4.049570955E-2,1.418165123E-1
1.500000000E0,4.000553644E-2,1.380648442E-1
1.533333333E0,3.968010639E-2,1.347730050E-1
1.566666667E0,3.925876923E-2,1.311673030E-1
1.600000000E0,3.869275539E-2,1.276760625E-1
1.633333333E0,3.833038780E-2,1.238025282E-1
1.666666667E0,3.797497649E-2,1.197777334E-1
1.700000000E0,3.739042867E-2,1.154343496E-1
1.733333333E0,3.716480559E-2,1.124643141E-1
1.766666667E0,3.703815358E-2,1.124890635E-1
1.800000000E0,3.712878641E-2,1.148822695E-1
1.833333333E0,3.722877336E-2,1.204950165E-1
1.866666667E0,3.728527743E-2,1.282532546E-1
1.900000000E0,3.743247645E-2,1.373497209E-1
1.933333333E0,3.763242618E-2,1.465895238E-1
1.966666667E0,3.787383678E-2,1.545381896E-1
2.000000000E0,3.791465475E-2,1.608421404E-1
2.033333333E0,3.807065956E-2,1.643810095E-1
2.066666667E0,3.826529622E-2,1.648799090E-1
2.100000000E0,3.814403032E-2,1.645237890E-1
2.133333333E0,3.885994858E-2,1.646865168E-1
2.166666667E0,3.896487520E-2,1.644222388E-1
2.200000000E0,3.968155287E-2,1.638159610E-1
2.233333333E0,3.943954812E-2,1.615926739E-1
2.266666667E0,3.899827578E-2,1.586449321E-1
2.300000000E0,3.732655680E-2,1.558578570E-1
2.333333333E0,3.690726576E-2,1.536200016E-1
2.366666667E0,3.663673724E-2,1.512062925E-1
2.400000000E0,3.624109259E-2,1.486681106E-1
2.433333333E0,3.610089756E-2,1.465863457E-1
2.466666667E0,3.571587377E-2,1.444542315E-1
2.500000000E0,3.554649421E-2,1.424166893E-1
2.533333333E0,3.515059340E-2,1.396542277E-1
2.566666667E0,3.504740431E-2,1.368320907E-1
2.600000000E0,3.461630347E-2,1.336140231E-1
2.633333333E0,3.454415824E-2,1.319443086E-1
2.666666667E0,3.468015784E-2,1.328206466E-1
2.700000000E0,3.458935776E-2,1.360060921E-1
2.733333333E0,3.491180099E-2,1.427105842E-1
